ID,Species,Aquaculture,Climate_Change,Conflict,Crops,Dams_Water,Fire,Fishing,Geo_Event,Hunting,Inv_Disease,Livestock,Logging,Other_Develop,Plantations,Pollution,Rec_Work
41,Cuniculus paca,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Cuniculus taczanowskii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
43,Ailuropoda melanoleuca,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1
44,Ailurus fulgens,0,0,0,2,0,1,0,0,1,0,1,1,1,1,0,1
45,Akodon aerosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Akodon affinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Akodon albiventer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Akodon azarae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Neomicroxus bogotensis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Akodon boliviensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Akodon budini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Akodon cursor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Akodon dayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Akodon fumeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Abrothrix illutea,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
56,Akodon iniscatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Akodon juninensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Deltamys kempi,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,Akodon kofordi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Abrothrix lanosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Neomicroxus latebricola,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
62,Akodon lindberghi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Abrothrix longipilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Akodon mimus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Akodon molinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Akodon mollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Thaptomys nigrita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Abrothrix olivaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Akodon orophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Akodon lutescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Abrothrix sanborni,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72,Akodon sanctipaulensis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
73,Akodon serrensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Akodon siberiae,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
75,Akodon simulator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Akodon subfuscus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Akodon surdus,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
78,Akodon sylvanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Akodon toba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Akodon torques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Necromys urichi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Akodon varius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Alcelaphus buselaphus,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0
84,Alionycteris paucidentata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Allactaga tetradactyla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Allactaga balikunica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Allactaga bullata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Scarturus euphratica,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
89,Allactaga firouzi,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
90,Allactaga hotsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Allactaga major,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
92,Allactaga severtzovi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Allactaga sibirica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Scarturus vinogradovi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Allactodipus bobrinskii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Allenopithecus nigroviridis,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
97,Allocebus trichotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Allocricetulus eversmanni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Vulpes lagopus,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
100,Alouatta pigra,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0
101,Alouatta ululata,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
102,Alouatta juara,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
103,Alticola albicaudus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Alticola argentatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Alticola barakshin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Alticola lemminus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Alticola macrotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Alticola montosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Alticola roylei,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
110,Alticola semicanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Alticola stoliczkanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Alticola strelzowi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Alticola tuvinicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Neamblysomus gunningi,0,0,0,2,0,0,0,0,1,0,1,1,1,1,0,0
115,Neamblysomus julianae,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0
116,Ametrida centurio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Ammodillus imbellis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Ammodorcas clarkei,0,2,1,0,0,0,0,0,2,0,2,1,0,0,0,0
119,Ammospermophilus nelsoni,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
120,Ammotragus lervia,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
121,Amorphochilus schnablii,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
122,Andalgalomys olrogi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Andalgalomys pearsoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Andinomys edax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Anisomys imitator,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,Anomalurus derbianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Anomalurus pelii,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
128,Anomalurus pusillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Anonymomys mindorensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Anotomys leander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,Anoura cultrata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Anoura latidens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Anoura luismanueli,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
134,Antechinomys laniger,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
135,Antechinus godmani,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
136,Antechinus leo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Murexia naso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Murexia habbema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Antechinus agilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Murexia melanurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Anthops ornatus,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
142,Antidorcas marsupialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Antilocapra americana,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
144,Antilope cervicapra,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
145,Bauerus dubiaquercus,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
146,Antrozous pallidus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
147,Aonyx capensis,0,2,0,2,2,0,1,0,3,1,1,0,3,0,2,0
148,Aonyx congicus,0,0,0,2,0,0,0,0,2,0,0,0,2,2,1,0
149,Aotus miconax,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
150,Aotus griseimembra,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0
151,Aotus lemurinus,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
152,Aplodontia rufa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Apodemus agrarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Apodemus chevrieri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Apodemus draco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Apodemus flavicollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Apodemus gurkha,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
158,Apodemus hyrcanicus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
159,Apodemus latronum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Apodemus mystacinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Apodemus peninsulae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Apodemus ponticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Apodemus rusiges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Apodemus semotus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Apodemus speciosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Apodemus sylvaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Apodemus uralensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Apodemus pallipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Apodemus alpicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Apomys datae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Apomys hylocetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Apomys insignis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Apomys littoralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Apomys microdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Apomys musculus,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
176,Apomys sacobianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Apomys gracilirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Aproteles bulmerae,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
179,Arborimus albipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Arborimus pomo,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
181,Archboldomys luzonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Arctocebus aureus,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
183,Arctocebus calabarensis,0,0,0,2,0,1,0,0,1,0,0,0,2,2,0,0
184,Arctocephalus australis,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
185,Arctocephalus galapagoensis,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
186,Arctocephalus gazella,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187,Arctocephalus philippii,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
188,Arctocephalus pusillus,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1
189,Arctocephalus townsendi,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
190,Arctocephalus tropicalis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
191,Ardops nichollsi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Ariteus flavescens,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Artibeus amplus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
194,Dermanura anderseni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Dermanura azteca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Dermanura cinerea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Artibeus concolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Artibeus fimbriatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Artibeus fraterculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Dermanura gnoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Enchisthenes hartii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Artibeus hirsutus,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
203,Artibeus inopinatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Artibeus lituratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Artibeus obscurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Artibeus planirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Dermanura tolteca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Arvicanthis abyssinicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Arvicanthis blicki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Arvicanthis nairobae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Arvicanthis niloticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Arvicanthis neumanni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Arvicola sapidus,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1
214,Asellia patrizii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Aselliscus tricuspidatus,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
216,Atelerix frontalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Atelerix sclateri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Ateles belzebuth,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0
219,Ateles geoffroyi,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
220,Ateles marginatus,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
221,Ateles paniscus,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
222,Atherurus africanus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
223,Atherurus macrourus,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
224,Atlantoxerus getulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Auliscomys boliviensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Loxodontomys micropus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Auliscomys pictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Auliscomys sublimis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Avahi laniger,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,Avahi occidentalis,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
231,Axis calamianensis,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
232,Axis kuhlii,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
233,Babyrousa babyrussa,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
234,Baiomys musculus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Baiomys taylori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Balaena mysticetus,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
237,Balaenoptera acutorostrata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
238,Balaenoptera borealis,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
239,Balaenoptera edeni,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
240,Balaenoptera musculus,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
241,Balaenoptera physalus,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
242,Balaenoptera bonaerensis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
243,Balantiopteryx infusca,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
244,Balantiopteryx io,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
245,Balantiopteryx plicata,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
246,Bandicota bengalensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Bandicota indica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Bandicota savilei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Barbastella barbastellus,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
250,Bassariscus sumichrasti,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
251,Bathyergus janetta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Bathyergus suillus,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
253,Batomys dentatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Batomys salomonseni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Bdeogale jacksoni,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
256,Beamys hindei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Belomys pearsonii,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
258,Berardius arnuxii,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
259,Berardius bairdii,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
260,Berylmys berdmorei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,Berylmys bowersi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Berylmys mackenziei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Berylmys manipulus,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
264,Bettongia gaimardi,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0
265,Bettongia lesueur,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
266,Bettongia penicillata,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0
267,Bettongia tropica,0,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0
268,Bibimys chacoensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,Bibimys labiosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,Bibimys torresi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
271,Bison bonasus,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
272,Bison bison,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0
273,Biswamoyopterus biswasi,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
274,Microtus afghanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Microtus bucharensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Blarinella wardi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Blarinomys breviceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,Blastocerus dichotomus,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1
279,Necromys amoenus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Necromys lactens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Necromys lasiurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Necromys obscurus,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
283,Necromys punctulatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Necromys temchuki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Boromys offella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Boromys torrei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Bos javanicus,0,0,0,3,0,0,0,0,3,1,1,3,2,3,0,0
288,Bos sauveli,0,0,0,2,0,0,0,0,2,1,0,2,2,3,0,0
289,Bos gaurus,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
290,Bos mutus,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,1
291,Boselaphus tragocamelus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Brachiones przewalskii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Brachylagus idahoensis,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0
294,Brachyphylla cavernarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Brachyphylla nana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
296,Brachytarsomys albicauda,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
297,Brachyteles arachnoides,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1
298,Brachyteles hypoxanthus,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1
299,Brachyuromys betsileoensis,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
300,Brachyuromys ramirohitra,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
301,Bradypus torquatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Bradypus tridactylus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Bradypus variegatus,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
304,Brotomys voratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Bubalus depressicornis,0,0,0,1,1,0,0,0,2,0,1,1,1,0,0,0
306,Bubalus mindorensis,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0
307,Bubalus quarlesi,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0
308,Bubalus arnee,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
309,Budorcas taxicolor,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1
310,Bullimus bagobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Bullimus luzonicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,Bunolagus monticularis,0,1,0,2,0,0,0,0,2,2,2,0,2,0,0,0
