id,Species,Aquaculture,Climate_Change,Conflict,Crops,Dams_Water,Fire,Fishing,Geo_Event,Hunting,Inv_Disease,Livestock,Logging,Other_Develop,Plantations,Pollution,Rec_Work
21,Crypturellus ptaritepui,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
22,Crypturellus obsoletus,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
23,Crypturellus cinnamomeus,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0
24,Crypturellus undulatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Crypturellus transfasciatus,0,0,0,1,0,0,0,0,2,0,2,2,0,0,0,0
26,Crypturellus strigulosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Crypturellus boucardi,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
28,Crypturellus kerriae,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
29,Crypturellus duidae,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
30,Crypturellus noctivagus,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0
31,Crypturellus atrocapillus,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
32,Crypturellus variegatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Crypturellus brevirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Crypturellus bartletti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Crypturellus parvirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Crypturellus casiquiare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Crypturellus tataupa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Nothoprocta taczanowskii,0,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0
39,Nothoprocta ornata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Nothoprocta pentlandii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Nothoprocta cinerascens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Nothoprocta perdicaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Nothoprocta curvirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Nothura darwinii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Nothura minor,0,0,0,2,0,2,0,0,0,1,2,0,0,1,2,2
46,Nothura boraquira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Taoniscus nanus,0,0,0,2,0,1,0,0,0,1,2,0,0,1,1,0
48,Eudromia elegans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Eudromia formosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Tinamotis pentlandii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Tinamotis ingoufi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Ortalis vetula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Ortalis cinereiceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Ortalis garrula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Ortalis ruficauda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Ortalis erythroptera,0,0,0,2,0,0,0,0,2,0,2,1,1,0,0,0
57,Ortalis wagleri,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
58,Ortalis poliocephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Ortalis canicollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Ortalis leucogastra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ortalis motmot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Ortalis superciliaris,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
63,Penelope argyrotis,0,0,0,2,0,1,0,0,2,0,2,2,0,0,0,0
64,Penelope barbata,0,0,0,2,0,0,0,0,1,0,2,0,1,0,0,0
65,Penelope ortoni,0,0,0,2,0,0,0,0,2,0,2,2,2,0,0,0
66,Penelope montagnii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Penelope marail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Penelope superciliaris,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0
69,Penelope dabbenei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Penelope purpurascens,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0
71,Penelope perspicax,0,0,0,1,0,0,0,0,2,0,1,1,1,0,0,0
72,Penelope albipennis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
73,Penelope jacquacu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Penelope obscura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Penelope pileata,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0
76,Penelope ochrogaster,0,2,0,2,0,0,0,0,2,0,2,2,2,2,0,0
77,Penelope jacucaca,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0
78,Pipile pipile,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
79,Pipile cujubi,0,2,0,2,0,2,0,0,2,0,2,2,2,0,0,0
80,Pipile jacutinga,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0
81,Aburria aburri,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
82,Chamaepetes unicolor,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
83,Chamaepetes goudotii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Penelopina nigra,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0
85,Oreophasis derbianus,0,0,0,2,0,0,0,0,2,1,0,2,1,0,0,0
86,Nothocrax urumutum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mitu tomentosum,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
88,Mitu salvini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Mitu tuberosum,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0
90,Mitu mitu,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
91,Pauxi pauxi,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0
92,Crax rubra,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0
93,Crax alberti,0,0,0,2,0,0,0,0,2,0,2,1,2,0,0,0
94,Crax daubentoni,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
95,Crax alector,0,0,0,2,0,0,0,0,2,0,2,0,1,0,0,0
96,Crax globulosa,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
97,Crax blumenbachii,0,0,0,2,0,0,0,0,2,0,2,0,0,2,0,0
98,Alectura lathami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Aepypodius arfakianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Aepypodius bruijnii,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0
101,Talegalla cuvieri,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
102,Talegalla fuscirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Talegalla jobiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Macrocephalon maleo,0,0,0,1,0,0,0,0,3,0,0,1,1,0,0,1
105,Megapodius nicobariensis,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
106,Megapodius cumingii,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
107,Megapodius bernsteinii,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0
108,Megapodius freycinet,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
109,Megapodius decollatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Megapodius eremita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Megapodius layardi,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0
112,Megapodius laperouse,0,2,0,0,0,0,0,1,1,2,0,0,2,0,0,1
113,Megapodius pritchardii,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
114,Eulipoa wallacei,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0
115,Leipoa ocellata,0,2,0,0,0,2,0,0,0,2,1,0,1,0,1,0
116,Lerwa lerwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Ammoperdix griseogularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Ammoperdix heyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Tetraogallus caucasicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Tetraogallus caspius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Tetraogallus tibetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Tetraogallus altaicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Tetraogallus himalayensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Tetraophasis obscurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Tetraophasis szechenyii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Alectoris graeca,0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0
127,Alectoris chukar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Alectoris philbyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,Alectoris magna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Alectoris barbara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Alectoris rufa,0,0,0,2,0,0,0,0,2,0,1,0,0,0,2,0
132,Alectoris melanocephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Francolinus francolinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Francolinus pictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Francolinus pintadeanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Ortygornis pondicerianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Ortygornis gularis,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0
138,Campocolinus coqui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Campocolinus albogularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Campocolinus schlegelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Peliperdix lathami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Ortygornis sephaena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Scleroptila streptophora,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0
144,Scleroptila finschi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Scleroptila afra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Scleroptila levaillantii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Scleroptila gutturalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Ptilopachus nahani,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,1
149,Pternistis hartlaubi,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Pternistis bicalcaratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Pternistis clappertoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Pternistis icterorhynchus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Pternistis harwoodi,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
154,Pternistis adspersus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Pternistis capensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Pternistis hildebrandti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Pternistis natalensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Pternistis ahantensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Pternistis squamatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Pternistis griseostriatus,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
161,Pternistis leucoscepus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Pternistis rufopictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Pternistis afer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Pternistis swainsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Pternistis erckelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Pternistis ochropectus,0,2,0,2,0,0,0,0,1,0,3,2,0,0,2,2
167,Pternistis nobilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Pternistis jacksoni,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
169,Pternistis camerunensis,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0
170,Pternistis swierstrai,0,2,0,2,0,2,0,0,1,0,0,2,0,0,0,0
171,Xenoperdix udzungwensis,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1
172,Perdix perdix,0,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0
173,Perdix dauurica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Perdix hodgsoniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Margaroperdix madagarensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Melanoperdix niger,0,0,0,2,0,1,0,0,1,0,0,1,0,2,0,0
177,Coturnix coturnix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Coturnix japonica,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
179,Coturnix pectoralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Coturnix novaezelandiae,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
181,Coturnix coromandelica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Coturnix delegorguei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Synoicus ypsilophorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Synoicus adansonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Synoicus chinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Anurophasis monorthonyx,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
187,Perdicula asiatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Perdicula argoondah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Perdicula erythrorhyncha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Perdicula manipurensis,0,0,0,2,0,2,0,0,1,0,2,0,0,0,0,0
191,Arborophila torqueola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Arborophila rufogularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Arborophila atrogularis,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0
194,Arborophila crudigularis,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
195,Arborophila mandellii,0,2,0,1,0,0,0,0,1,0,1,1,1,0,0,0
196,Arborophila brunneopectus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Arborophila rufipectus,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
198,Arborophila orientalis,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0
199,Arborophila javanica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Arborophila hyperythra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Arborophila gingica,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
202,Arborophila davidi,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
203,Arborophila cambodiana,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0
204,Arborophila rubrirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Arborophila ardens,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
206,Caloperdix oculeus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
207,Haematortyx sanguiniceps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Rollulus rouloul,0,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0
209,Ptilopachus petrosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Bambusicola fytchii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Galloperdix spadicea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Galloperdix lunulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Galloperdix bicalcarata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Ophrysia superciliosa,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0
215,Ithaginis cruentus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Tragopan melanocephalus,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
217,Tragopan satyra,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
218,Tragopan blythii,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
219,Tragopan temminckii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Tragopan caboti,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0
221,Pucrasia macrolopha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Lophophorus impejanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,Lophophorus sclateri,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
224,Lophophorus lhuysii,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
225,Gallus gallus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Gallus sonneratii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Gallus lafayettii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Gallus varius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Lophura leucomelanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Lophura nycthemera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Lophura swinhoii,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
232,Lophura diardi,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
233,Lophura bulweri,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0
234,Crossoptilon harmani,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
235,Crossoptilon crossoptilon,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0
236,Crossoptilon mantchuricum,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1
237,Crossoptilon auritum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Catreus wallichii,0,0,0,2,1,2,0,0,2,0,2,2,0,1,0,1
239,Syrmaticus ellioti,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
240,Syrmaticus humiae,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
241,Syrmaticus mikado,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
242,Syrmaticus soemmerringii,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0
243,Syrmaticus reevesii,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0
244,Chrysolophus pictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Chrysolophus amherstiae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Polyplectron chalcurum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Polyplectron inopinatum,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
248,Polyplectron germaini,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
249,Polyplectron malacense,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0
250,Polyplectron schleiermacheri,0,0,0,0,0,1,0,0,2,0,0,2,0,2,0,0
251,Polyplectron napoleonis,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0
252,Afropavo congensis,0,0,1,2,0,0,0,0,2,0,0,1,1,0,0,0
253,Pavo cristatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,Pavo muticus,0,0,0,2,0,0,0,0,2,0,0,1,1,0,0,2
255,Falcipennis falcipennis,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0
256,Lagopus lagopus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,Lagopus muta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,Lagopus leucura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Lyrurus tetrix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,Lyrurus mlokosiewiczi,0,2,0,1,0,0,0,0,1,0,2,1,2,0,0,0
261,Tetrao urogallus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Tetrao urogalloides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Tetrastes bonasia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,Tetrastes sewerzowi,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
265,Bonasa umbellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,Centrocercus urophasianus,0,0,0,1,0,1,0,0,1,0,1,0,2,0,1,0
267,Tympanuchus phasianellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,Tympanuchus cupido,0,0,0,2,0,0,0,0,2,0,2,0,1,0,2,0
269,Tympanuchus pallidicinctus,0,1,0,2,0,0,0,0,1,0,2,0,1,0,2,0
270,Meleagris gallopavo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Meleagris ocellata,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0
272,Agelastes meleagrides,0,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0
273,Agelastes niger,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
274,Numida meleagris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Guttera plumifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,Acryllium vulturinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,Dendrortyx barbatus,0,0,0,2,0,0,0,0,1,0,2,2,1,0,0,0
278,Dendrortyx macroura,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
279,Dendrortyx leucophrys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Oreortyx pictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Callipepla squamata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Callipepla douglasii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Callipepla californica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Callipepla gambelii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Philortyx fasciatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Colinus nigrogularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,Odontophorus gujanensis,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
288,Odontophorus capueira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,Odontophorus melanotis,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0
290,Odontophorus erythrops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Odontophorus atrifrons,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
292,Odontophorus hyperythrus,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0
293,Odontophorus melanonotus,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
294,Odontophorus speciosus,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
295,Odontophorus dialeucos,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
296,Odontophorus strophium,0,0,0,1,0,0,0,0,2,1,1,2,1,0,0,0
297,Odontophorus columbianus,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
298,Odontophorus leucolaemus,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
299,Odontophorus balliviani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Odontophorus stellatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,Odontophorus guttatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,Dactylortyx thoracicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Cyrtonyx ocellatus,0,0,0,2,0,2,0,0,1,0,2,0,2,0,0,1
304,Rhynchortyx cinctus,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
305,Anhima cornuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Chauna chavaria,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0
307,Chauna torquata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Anseranas semipalmata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,Dendrocygna guttata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
